GeneID,log2FoldChange,logCPM,PValue,padj,GeneName
KH2013:KH.C10.309,0.5720905104,1.6177407275,0.3479375217,1,KH2013:KH.C10.309_THBS1
KH2013:KH.C10.31,-0.0336831585,7.6541338725,0.8734358464,1,RABAC1
KH2013:KH.C10.310,-0.1695103877,5.4869629117,0.4235345284,1,NDUFS4
KH2013:KH.C10.311,-0.110289586,4.1519540866,0.716083504,1,PRKCE
KH2013:KH.C10.312,0,-1.6351972215,1,1,KH2013:KH.C10.312_CD81/9
KH2013:KH.C10.313,1.2011336669,-0.6395337444,0.7152837279,1,KH2013:KH.C10.313
KH2013:KH.C10.314,-0.0241809146,3.8950870174,0.9416328493,1,KH2013:KH.C10.314
KH2013:KH.C10.315,-0.6454121422,-0.9828060417,1,1,KH2013:KH.C10.315
KH2013:KH.C10.316,-0.7767843837,0.0357452912,0.6342355404,1,KH2013:KH.C10.316
KH2013:KH.C10.317,0.9225199534,3.7663071594,0.0565628393,1,KH2013:KH.C10.317_FN1
KH2013:KH.C10.318,-0.387257113,2.1110927609,0.4956121132,1,CENPV
KH2013:KH.C10.319,0.162384783,4.8702618965,0.5115043754,1,KH2013:KH.C10.319
KH2013:KH.C10.32,0.8283110037,0.2126667282,0.5110395343,1,KH2013:KH.C10.32
KH2013:KH.C10.320,-0.3375973016,7.6177911467,0.0596808652,1,KH2013:KH.C10.320_USP32/6
KH2013:KH.C10.321,-0.3507617809,2.9455473767,0.3754871679,1,C16ORF89
KH2013:KH.C10.322,1.2917010159,2.5483217217,0.0111612495,1,KH2013:KH.C10.322
KH2013:KH.C10.324,-0.0014782378,4.6315322056,0.9803524229,1,MTIF2
KH2013:KH.C10.325,0.0715117875,7.1886911286,0.6770100216,1,KH2013:KH.C10.325
KH2013:KH.C10.326,-0.5708662824,0.6842272697,0.8847067969,1,KH2013:KH.C10.326
KH2013:KH.C10.328,0.032317833,6.252716721,0.8594636678,1,PRDX4
KH2013:KH.C10.329,-0.0029333444,5.8038097947,1,1,KIAA0317
KH2013:KH.C10.33,0.0033568528,6.2544226838,1,1,PHB/1
KH2013:KH.C10.330,-0.0222138666,4.5427536184,1,1,KH2013:KH.C10.330_PPP2R5A
KH2013:KH.C10.331,-0.15104371,-1.1386022371,1,1,KH2013:KH.C10.331_MRC1
KH2013:KH.C10.332,-0.1588389299,3.3032402653,0.7169111687,1,KH2013:KH.C10.332
KH2013:KH.C10.334,0.1712041551,4.1511548914,0.5564146214,1,SLC50A1
KH2013:KH.C10.335,1.6110039743,-0.0278940309,0.2148581365,1,KH2013:KH.C10.335_CALM1/2
KH2013:KH.C10.336,0.1795699449,1.0026501796,0.7682129912,1,KH2013:KH.C10.336
KH2013:KH.C10.337,0.3435462136,4.00058769,0.2958284849,1,NDE1/2
KH2013:KH.C10.338,-0.5148272009,1.7726463422,0.6711889536,1,NKX2-1/4
KH2013:KH.C10.339,-1.2944453304,0.2401906244,0.2119703435,1,ANGPT1/2
KH2013:KH.C10.34,-0.2257168238,4.8693487089,0.3964822705,1,KH2013:KH.C10.34_TXNDC3
KH2013:KH.C10.340,0.2940881659,2.3912790588,0.5233603544,1,KH2013:KH.C10.340_DHRS11
KH2013:KH.C10.341,-2.8122478633,-1.2296919102,1,1,KH2013:KH.C10.341_CYP2C29/37/38/39/40/44/50/54/55/65/66/67/68/69/70
KH2013:KH.C10.342,-0.5349436674,1.5425921676,0.4001332954,1,C14ORF159
KH2013:KH.C10.343,-0.1532509746,1.6281838609,0.8723396625,1,SLC7A1/2/3
KH2013:KH.C10.344,0.2325164545,0.868531061,1,1,KH2013:KH.C10.344
KH2013:KH.C10.345,-0.4976488224,4.7883075391,0.0466304556,1,RPAP3
