GeneID,log2FoldChange,logCPM,PValue,padj,GeneName
KH2013:KH.C10.246,-0.085979195,8.9363129425,0.6878710515,1,SLC8A1/2/3
KH2013:KH.C10.247,0.4053008521,3.281034831,0.2412157399,1,KH2013:KH.C10.247
KH2013:KH.C10.248,-0.0185318316,6.8481299432,0.9127262545,1,FDPS
KH2013:KH.C10.249,0.0706285252,4.2663225477,0.840449656,1,PKD1
KH2013:KH.C10.25,-0.5231323822,2.5505819845,0.237016051,1,RSPH1
KH2013:KH.C10.250,-0.033595452,10.4903339298,0.8692442326,1,RBFOX1/2/3
KH2013:KH.C10.251,-0.1332961899,4.8866111148,0.5765227165,1,CLEC4G
KH2013:KH.C10.252,0.1398980652,3.9551799057,0.5987064904,1,DLAT
KH2013:KH.C10.253,-0.3972853369,5.4477580539,0.058778381,1,IQSEC1/2/3
KH2013:KH.C10.254,-4.5295130289,-0.1662863109,0.0820784547,1,KH2013:KH.C10.254
KH2013:KH.C10.255,0.2808460025,3.0245107596,0.5890667491,1,KH2013:KH.C10.255_LPHN1/2/3
KH2013:KH.C10.256,-0.1075621096,6.1700243004,0.5958987712,1,KH2013:KH.C10.256
KH2013:KH.C10.257,0.3572546314,4.0032050012,0.2472447275,1,FHAD1
KH2013:KH.C10.258,0.0726491665,8.3883645013,0.6696106911,1,ARHGAP11A
KH2013:KH.C10.259,0.1069493919,5.016825876,0.6314436827,1,KH2013:KH.C10.259
KH2013:KH.C10.26,0.1298143671,3.5469878453,0.7342774472,1,EFCAB2
KH2013:KH.C10.260,-0.0491130275,5.522345465,0.8062250306,1,NCAM1/2
KH2013:KH.C10.261,0,-1.5202957475,1,1,KH2013:KH.C10.261_CD81/9
KH2013:KH.C10.262,0.1044568198,0.5055158494,0.8455977456,1,KH2013:KH.C10.262_CYP-33C1/11/12/3/4/5/6/7/8
KH2013:KH.C10.263,-0.0566620654,3.983322904,0.920418084,1,KH2013:KH.C10.263
KH2013:KH.C10.264,-0.4660665194,4.0780158741,0.1387320033,1,MSI1/2
KH2013:KH.C10.265,-0.0811988013,0.3612024354,1,1,KH2013:KH.C10.265
KH2013:KH.C10.266,-1.5137436356,-0.1141785778,0.2606820427,1,KH2013:KH.C10.266
KH2013:KH.C10.267,0.2485282706,7.6380018172,0.1355443078,1,HEXB
KH2013:KH.C10.268,-0.257039813,3.9858331068,0.3986984209,1,KH2013:KH.C10.268
KH2013:KH.C10.269,-1.4079064243,-0.1079866371,0.713503929,1,KH2013:KH.C10.269
KH2013:KH.C10.27,-0.3749005869,4.1155904769,0.2541333526,1,KH2013:KH.C10.27
KH2013:KH.C10.270,-0.1671101983,4.4906581933,0.6499986393,1,PNN
KH2013:KH.C10.271,-0.1139537715,3.670187901,0.7553511,1,MCEE
KH2013:KH.C10.272,-0.4152224386,4.1796653319,0.1488525407,1,FAM213B
KH2013:KH.C10.273,-0.1834816817,6.039839287,0.3644527483,1,EMG1
KH2013:KH.C10.274,-0.0635800451,4.9587994488,0.8697074646,1,ZIG-2/3/4/5
KH2013:KH.C10.275,-0.0088291504,5.2039253197,1,1,DCTN2
KH2013:KH.C10.276,0.0630874757,2.7452758255,1,1,KH2013:KH.C10.276
KH2013:KH.C10.277,0.1200130821,3.2059625716,0.8507690304,1,A730011L01RIK
KH2013:KH.C10.278,-0.0969637654,5.5047828292,0.7105043026,1,EIF2B1
KH2013:KH.C10.279,-0.2118729192,4.5772760394,0.4184178506,1,QTRTD1
KH2013:KH.C10.28,-0.9225148415,1.8656086142,0.1042029929,1,KH2013:KH.C10.28
KH2013:KH.C10.280,-0.0417089095,9.4874354882,0.8076790892,1,EIF4A3
KH2013:KH.C10.281,2.9645170927,-1.399743337,1,1,KH2013:KH.C10.281
KH2013:KH.C10.282,-0.0121919025,6.665385602,0.9315846175,1,KH2013:KH.C10.282_FUT3/4/5/6/7/9
KH2013:KH.C10.283,-0.1109503089,4.3097139528,0.7513294912,1,KH2013:KH.C10.283
KH2013:KH.C10.284,1.0427470026,-1.1054350588,0.5225180375,1,ALS2CR11
KH2013:KH.C10.285,0.005417011,5.9378604202,0.9779046465,1,STX5A
KH2013:KH.C10.286,-0.1442390587,4.5941170238,0.7325126292,1,SCUBE2
