"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","foxfdnnk418hpf1","foxfdnnk418hpf2","foxfdnnk420hpf1","foxfdnnk420hpf2","foxfnk412hpf1","foxfnk412hpf2","foxfnk415hpf1","foxfnk415hpf2","handrnoggin12hpf1","handrnoggin12hpf2","handrnoggin15hpf1","handrnoggin15hpf2","handrnoggin18hpf1","handrnoggin18hpf2","handrnoggin20hpf1","handrnoggin20hpf2"
"KH2013:KH.C11.211",216.412718749072,0.576434085320011,0.312257596578737,1.84602101481512,0.0648891541585793,0.355466914574602,134,84,88,109,512,588,175,138,264,381,74,61,387,122,172,118
"KH2013:KH.C11.219",5.7373322430594,2.76335022471778,1.38159143801965,2.00012112747218,0.0454871859019698,NA,9,9,0,2,6,13,16,2,3,1,32,0,5,20,10,7
"KH2013:KH.C11.108",913.432220672837,-0.21547978052614,0.188579625954856,-1.14264613388153,0.253185542913374,0.651926502158616,1016,800,527,712,1095,1600,957,911,699,871,782,864,1749,802,1222,974
"KH2013:KH.C11.609",5.429639219815,0.796077045792734,1.81131464008309,0.439502352697936,0.660297577664462,NA,0,6,2,4,7,4,1,3,1,2,0,13,2,10,4,4
"KH2013:KH.C11.111",122.58641857621,-1.02938548044172,0.528569356031073,-1.94749368024507,0.0514755766854863,0.319427449906099,107,95,42,82,314,270,209,140,110,132,119,83,262,93,75,94
"KH2013:KH.C11.450",1030.32536536173,-0.68810603472914,0.246599720356946,-2.79037637890719,0.00526468006694281,0.0896361150074975,1114,1018,804,1112,1182,884,1536,1265,747,1020,1906,991,3318,1315,1733,1161
"KH2013:KH.C11.16",373.508082258212,-0.479188016131842,0.315776958147112,-1.51748885967988,0.129143304056452,0.491200197649514,402,397,440,514,431,336,322,370,209,268,537,305,1460,894,1067,632
"KH2013:KH.C11.443",9.07612815838631,3.66083658305152,1.69669258690844,2.1576310354028,0.0309565297415947,NA,8,15,11,19,21,16,1,8,3,2,6,3,12,13,18,5
"KH2013:KH.C11.301",15.3807713341944,0.505049843054959,1.43732680275383,0.351381357452817,0.725302266443323,NA,3,8,2,6,74,105,8,22,13,13,39,44,14,28,32,15
"KH2013:KH.C11.2",97.3903933808332,-1.01080233934509,0.75155536162397,-1.34494727994614,0.178642260329047,0.566095185757407,57,12,20,58,246,193,64,77,27,62,198,179,33,72,22,6
"KH2013:KH.C11.667",1740.54927370632,0.0128835754841973,0.258423924295316,0.0498544224159155,0.960238397749868,0.989870302523917,2011,1859,2013,2175,3102,2106,1069,930,884,974,1981,1137,2639,1220,1863,1703
"KH2013:KH.C11.315",27.5490660044026,1.60115452583954,0.675256829966916,2.37117857203752,0.0177314619369533,0.179700604109437,29,30,11,6,34,96,18,29,14,41,4,22,7,25,40,18
"KH2013:KH.C11.498",407.432110963228,-0.581554755591305,0.255467689866705,-2.27643173152246,0.0228201822835292,0.205680921630891,394,455,395,324,438,407,598,434,339,336,925,300,665,644,685,556
"KH2013:KH.C11.720",4551.71240246589,0.0364844595629133,0.220452584064929,0.165497990044733,0.868552031731665,0.962903441531637,4377,4923,3306,4284,6046,6449,6435,5481,2549,3188,9604,4824,10818,6467,5653,3880
"KH2013:KH.C11.452",292.221712336137,0.360054759741749,0.380750762987552,0.94564422383973,0.344330079880038,0.737682502069879,379,250,335,207,471,242,381,237,166,286,278,181,909,333,396,416
"KH2013:KH.C11.613",366.362374200075,-0.0632817366029743,0.329609231431852,-0.191990182823681,0.847749895350763,0.956411943403946,429,579,300,499,448,387,450,425,206,228,95,336,1266,619,816,581
"KH2013:KH.C11.238",1009.89936242988,-0.176015396061974,0.261775874530138,-0.672389678299821,0.501335652054609,0.832553645424114,777,913,741,882,2070,1670,1065,782,828,1055,1190,738,1852,1128,1525,1001
"KH2013:KH.C11.468",107.797255068499,0.901833379792269,0.724298774283737,1.2451123925815,0.213090439429069,0.608766555459091,72,34,136,89,288,139,60,20,27,63,67,246,67,83,19,70
"KH2013:KH.C11.206",291.976728481471,1.21107479798394,0.512457580628391,2.36326838310965,0.0181145458650634,0.180963339330653,284,262,271,174,885,1247,448,411,147,160,107,148,507,329,385,251
"KH2013:KH.C11.546",377.913638455815,0.397063492200034,0.236168971652588,1.68126866718177,0.0927107410118751,0.423670316708004,352,412,246,375,687,639,360,349,259,318,607,261,1256,637,592,352
"KH2013:KH.C11.549",109.798040939742,-0.334384448692812,0.517774614677214,-0.645810820411253,0.518401879605471,0.843954223140806,87,110,60,135,167,261,127,75,89,129,108,110,384,150,218,132
"KH2013:KH.C11.561",2476.25202676266,-0.10817750354836,0.187989926903951,-0.575443085328878,0.56499167217267,0.867324923525153,2146,1759,1485,1904,5079,5906,2812,2395,2018,2619,2015,1746,3941,2638,2591,2227
"KH2013:KH.C11.532",191.299655663199,0.120906481876632,0.312279064825164,0.387174471475774,0.698627047991164,0.914318378922976,158,176,122,149,316,378,214,132,181,249,292,149,360,200,250,126
"KH2013:KH.C11.466",51.9418826279345,0.993720080261492,0.564731265095757,1.75963354905274,0.0784699593700692,0.38919967218461,42,48,48,36,36,110,46,35,24,68,52,41,210,81,52,47
"KH2013:KH.C11.392",2352.66010368646,-0.712712305887569,0.301531655189621,-2.36364008097052,0.018096383855196,0.180963339330653,2796,2524,2052,2571,2997,2217,4108,3136,1870,1948,3734,2250,4016,2467,3360,2979
"KH2013:KH.C11.420",139.844315291737,-0.875019865060983,0.371460429045978,-2.35562067084318,0.0184917899322125,0.182564709563395,202,198,120,168,231,162,217,152,115,136,63,169,539,319,437,233
