"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","foxfdnnk418hpf1","foxfdnnk418hpf2","foxfdnnk420hpf1","foxfdnnk420hpf2","foxfnk412hpf1","foxfnk412hpf2","foxfnk415hpf1","foxfnk415hpf2","handrnoggin12hpf1","handrnoggin12hpf2","handrnoggin15hpf1","handrnoggin15hpf2","handrnoggin18hpf1","handrnoggin18hpf2","handrnoggin20hpf1","handrnoggin20hpf2"
"KH2013:KH.L149.40",974.293862370553,0.255428018185153,0.229061619039078,1.11510614155563,0.264804940000725,0.814529886228715,938,929,667,1038,1819,1756,1096,876,561,923,1291,743,1804,1271,1329,1441
"KH2013:KH.L149.24",1.12064970333127,-0.0404451236291885,1.9342673941601,-0.0209097892831672,0.983317617613402,NA,1,0,3,1,1,2,3,1,0,0,1,0,5,5,2,4
"KH2013:KH.L149.7",83.6082879902407,-0.463791453826168,0.69042545800996,-0.67174732398045,0.501744568421661,0.909604190463702,70,35,21,25,223,313,35,18,19,70,27,88,42,46,43,26
"KH2013:KH.L149.11",30.9243697156931,-1.1851678680216,0.632017000297065,-1.87521517216236,0.0607631277179145,NA,29,44,28,17,20,29,8,10,3,9,28,20,58,44,108,79
"KH2013:KH.L149.20",197.335102113492,-0.0883917869967625,0.478775501506686,-0.184620530329136,0.853526681882377,0.986206704418403,127,74,86,75,344,444,141,112,150,221,309,90,486,141,261,139
"KH2013:KH.L149.33",2.81195495576172,-0.341981570761603,1.35832586240862,-0.251766958302031,0.801221198230451,NA,1,4,2,1,14,2,7,1,4,1,1,1,33,8,5,15
"KH2013:KH.L149.1",776.016731768377,0.329008506321563,0.319915691477239,1.02842253470699,0.303751112810622,0.841272329582703,809,652,554,715,583,787,1178,950,479,686,954,542,2113,786,1380,1083
"KH2013:KH.L149.32",94.215593721908,-0.292213635949456,0.489621139472529,-0.596815807961762,0.550630362609847,0.923334959852185,53,60,67,93,139,177,124,90,56,44,500,57,293,198,148,107
"KH2013:KH.L149.19",17.654272584811,-3.43891356439037,1.47081605913735,-2.33809900498865,0.0193821128292466,NA,4,13,0,16,58,8,0,4,7,1,18,0,12,5,3,12
"KH2013:KH.L149.35",13.2034021226221,-0.957519989023207,1.26466750719108,-0.75713180229476,0.448970902781299,NA,1,12,0,3,11,4,19,2,3,1,92,27,6,0,10,8
"KH2013:KH.L149.31",8.39632761389213,-0.354792631520691,1.32203675466397,-0.268368205550285,0.788415910429328,NA,0,3,0,4,21,0,4,7,0,1,8,20,93,14,1,22
"KH2013:KH.L149.2",117.023749685467,-1.1751255625799,0.689674396294789,-1.70388457059325,0.0884026541061913,0.62252102316917,72,99,108,134,592,8,45,38,31,27,30,37,255,72,450,371
"KH2013:KH.L149.14",11.2636162639667,-0.48958923828962,1.1386302700137,-0.429980873671776,0.667209554259528,NA,5,1,6,4,2,0,0,13,2,0,4,20,23,3,7,5
"KH2013:KH.L149.37",10.0897543740047,0.991103478197548,1.6296803585529,0.608158202923679,0.543082552958263,NA,3,11,10,8,77,3,14,21,4,7,1,13,136,11,10,16
"KH2013:KH.L149.18",3499.77859379113,0.426862029759088,0.224499495321361,1.90139416192475,0.057250403655706,0.54143660520818,3836,4503,2373,4134,6467,3045,4512,3706,2720,4271,10329,3452,11923,5373,5564,4217
"KH2013:KH.L149.13",1011.8729138484,0.521056846072217,0.291830765566079,1.78547606199606,0.0741841307847878,0.587373188348324,1401,1420,908,1355,1403,1112,1442,1177,998,1085,2293,855,2315,1159,1675,1073
"KH2013:KH.L149.38",2.92509003595076,2.23762509405369,1.57305275653167,1.42247301291236,0.154888980501146,NA,0,1,1,1,2,3,1,1,0,2,21,6,0,2,3,1
"KH2013:KH.L149.21",3220.06336750023,0.179430981515158,0.314738903707776,0.570094701993858,0.568613468329074,0.92981020031506,3099,2823,1936,2908,4460,3994,2148,2056,1941,2307,2376,2326,2662,1236,3325,2650
"KH2013:KH.L149.10",1134.25112302611,0.114886717632289,0.240237108752002,0.478222195684544,0.632492066418616,0.942880222878133,1016,998,682,1208,1328,1835,1000,921,572,1007,1493,959,3028,1532,1535,1202
"KH2013:KH.L149.30",4.53743303938637,0.0934543189143027,0.996758989569708,0.0937581901866228,0.925301244722866,NA,5,14,3,5,3,8,6,3,4,2,6,2,18,9,9,4
"KH2013:KH.L149.36",0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KH2013:KH.L149.25",59.461356708351,-0.17785701571694,0.45330160302097,-0.392359114840175,0.694792890665596,0.958454966011949,75,97,47,59,199,56,116,59,44,69,53,49,252,112,99,90
"KH2013:KH.L149.5",70.516766504619,-0.325636263291759,0.456443148586411,-0.713421297483036,0.475585098114422,0.90399451724022,93,98,46,55,57,44,93,67,45,43,50,68,208,172,162,101
"KH2013:KH.L149.41",92.4311689993615,-0.4190222792568,0.514672769615455,-0.814152805422129,0.415557418144392,0.880335303815663,76,68,99,155,99,73,95,73,42,80,33,22,407,236,145,125
"KH2013:KH.L149.16",138.390359008427,0.078362778554013,0.247679583447109,0.316387719421157,0.751708237077955,0.969058842419618,145,133,90,163,197,145,160,137,97,124,424,107,370,266,236,189
"KH2013:KH.L149.23",9.63590295027008,-1.38544709693697,0.961611313348256,-1.44075582067868,0.149653678680947,NA,3,4,10,6,22,14,10,2,6,5,14,5,23,22,12,21
"KH2013:KH.L149.6",291.211991490922,0.120563676256792,0.329387940204673,0.366023346762109,0.714347654426968,0.963668988258559,234,239,185,232,443,584,255,223,219,251,159,150,374,335,396,258
"KH2013:KH.L149.8",191.813661086866,-0.582316963458744,0.364084031115952,-1.59940264799279,0.109731164305592,0.657903892657361,231,225,130,240,134,189,270,199,123,133,111,219,816,310,336,319
"KH2013:KH.L149.29",113.730780423708,0.492632993537332,0.415913111565337,1.1844613209794,0.236230498673243,0.793511396706139,129,155,135,248,79,28,179,84,77,31,101,86,465,229,220,186
"KH2013:KH.L149.22",154.612021648809,-0.127846041683425,0.335924125684047,-0.38058011291416,0.703514840319039,0.961710975880334,91,183,69,121,400,400,137,170,158,193,108,162,271,246,172,119
"KH2013:KH.L149.34",5.99486028259367,0.818430854851595,1.44340136869659,0.567015434931068,0.570703695071081,NA,2,3,0,0,2,11,4,8,1,0,3,16,24,4,2,2
"KH2013:KH.L149.39",20.749478069111,-0.104007153331969,1.16184963395704,-0.0895186005935562,0.92866977179231,NA,21,17,10,17,81,151,15,9,1,0,18,21,7,30,35,30
"KH2013:KH.L149.17",1.58107321421958,1.97103832694078,3.03884991520977,0.648613252360876,0.516588387474094,NA,2,0,0,1,1,0,0,0,0,0,1,0,2,5,0,1
"KH2013:KH.L149.12",55.2887391172805,-0.888589853321447,0.875416256166688,-1.01504838076967,0.310082765787027,0.842925247924778,60,77,156,75,350,53,38,11,57,6,76,28,64,46,43,41
"KH2013:KH.L149.15",35.9713804074112,0.600929733609259,0.558860419328246,1.07527696152034,0.282250747637212,NA,41,28,26,50,51,32,44,34,15,43,71,11,108,73,78,47
"KH2013:KH.L149.4",6.70524073498836,-0.351895668066137,1.27429821138506,-0.276148600792317,0.782433933328331,NA,3,4,5,7,23,16,1,12,4,2,25,17,52,20,11,13
"KH2013:KH.L149.26",23.9249453618353,-0.48403577258857,0.509110839632218,-0.950747332227768,0.341732654377786,NA,47,44,21,33,15,11,19,21,15,8,18,12,82,50,47,33
"KH2013:KH.L149.9",83.4480817419388,0.0778513374800998,0.454081789302534,0.171447830135797,0.863871648483432,0.986232622526679,95,73,76,72,181,102,104,89,48,83,306,94,176,179,191,87
"KH2013:KH.L149.27",1.09439374168188,-1.3231472317666,3.03171536328058,-0.436435177191185,0.662521021161147,NA,4,5,3,3,0,0,0,1,1,1,0,0,1,3,5,0
"KH2013:KH.L149.28",118.374806846342,-0.0107723631628828,0.307283808853965,-0.0350567223279973,0.972034510761601,0.996568612106416,139,181,133,186,135,122,104,92,57,50,185,46,288,152,197,166
"KH2013:KH.L149.3",570.415423501764,-0.0121278713068779,0.261344654025991,-0.0464056605713914,0.962986924891823,0.996568612106416,507,514,394,515,1091,674,611,565,405,841,1926,497,1094,800,1136,540
"KH2013:KH.L15.4",2.90178642805523,0.100965086815583,1.51453107928536,0.0666642554890484,0.946848990970363,NA,3,3,0,2,0,0,0,1,0,0,3,3,19,6,4,3
"KH2013:KH.L15.3",61.5172507901451,-0.704423358513039,0.506433769530031,-1.39094863118378,0.164241004370618,0.734730572995463,53,46,45,77,61,93,64,64,36,33,17,49,231,115,89,76
"KH2013:KH.L15.2",39.591380149658,-0.35231297144485,0.599445548788029,-0.587731399719563,0.556712596034469,NA,37,26,31,24,60,35,11,17,25,124,34,8,38,63,43,21
"KH2013:KH.L15.1",1041.94532230564,0.303245975085132,0.372683751590348,0.813681771182926,0.415827279614648,0.880415490848986,1006,1053,811,886,1481,1499,843,748,777,1198,757,776,1391,1024,1406,938
"KH2013:KH.L150.3",156.212583946816,-0.268034002679695,0.431111975051557,-0.621727110799093,0.534121321733047,0.915952250419344,185,209,141,168,152,197,171,104,133,121,640,229,311,178,164,223
"KH2013:KH.L150.1",696.464759747171,-0.0266570468748833,0.293528233806513,-0.0908159550077726,0.927638832177565,0.995223277465555,632,751,313,631,690,504,891,496,308,433,1231,545,681,479,964,758
"KH2013:KH.L150.5",21483.5504081027,0.130316839897721,0.32112210560406,0.405817094567759,0.68487699726841,0.956612278800623,30688,29183,16561,21122,21764,16262,22984,16204,11157,13959,32841,15646,37562,20137,29427,27924
"KH2013:KH.L150.2",46.96502843389,1.10488308986018,0.483871292339371,2.28342352057796,0.0224054331019669,0.378037157099205,54,50,36,38,68,68,63,51,23,38,113,24,125,74,55,65
"KH2013:KH.L150.4",83.4992343982058,0.170859709906217,0.407364520889703,0.419427076106313,0.674904039458551,0.954909094485185,93,80,97,129,80,100,58,56,20,38,221,35,385,177,206,92
"KH2013:KH.L151.4",1.52165435367666,-0.523894527603095,2.32927306750489,-0.224917608378261,0.822043370724651,NA,2,3,0,0,0,0,3,0,0,2,0,4,1,0,8,5
"KH2013:KH.L151.2",330.879186898731,0.0165466766432833,0.226738112066461,0.0729770416295662,0.941824386913111,0.996568612106416,393,373,228,279,543,462,336,343,224,301,884,228,922,481,503,320
"KH2013:KH.L151.5",1489.76189536216,0.345391237813019,0.242459314499527,1.42453276553206,0.154292307182885,0.72361915664506,1206,1416,956,1381,2981,2420,1485,877,1416,1722,4024,1309,2151,944,1340,1452
