"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","foxfdnnk418hpf1","foxfdnnk418hpf2","foxfdnnk420hpf1","foxfdnnk420hpf2","foxfnk412hpf1","foxfnk412hpf2","foxfnk415hpf1","foxfnk415hpf2","handrnoggin12hpf1","handrnoggin12hpf2","handrnoggin15hpf1","handrnoggin15hpf2","handrnoggin18hpf1","handrnoggin18hpf2","handrnoggin20hpf1","handrnoggin20hpf2"
"KH2013:KH.C4.471",2976.30315730125,0.031411507964377,0.22877085732171,0.137305548145953,0.890789285187543,0.999929152946801,2011,2106,1520,1755,7127,6723,3595,2961,3461,4368,3794,2543,5196,2970,2927,2412
"KH2013:KH.C4.314",3.52745135086327,-4.27978124821518,2.28402145271799,-1.87379205353883,0.060959092099946,NA,2,3,3,1,8,0,0,0,6,2,1,3,4,1,5,4
"KH2013:KH.C4.509",7052.83085845331,-0.372993780770739,0.145150718204149,-2.56969986360066,0.0101786658505649,0.578439039336385,5530,5146,4781,5366,11608,9176,4437,3699,5221,7898,6100,4064,8370,4322,8548,6984
"KH2013:KH.C4.61",21.3255891539404,0.839710641792096,1.03024859680212,0.81505633145102,0.415040066269007,NA,2,11,6,16,11,10,12,26,9,1,5,11,23,7,39,54
"KH2013:KH.C4.765",50.8750482930725,0.380508361588465,0.99307374573994,0.383162240690341,0.701599473047953,NA,21,25,19,24,192,85,21,41,30,14,129,50,6,39,14,38
"KH2013:KH.C4.690",63.8742124261551,0.271099686485401,0.346552602479985,0.782275719603227,0.434052553029234,NA,79,66,49,64,82,33,85,79,38,68,98,70,228,108,113,96
"KH2013:KH.C4.240",17.6510513770215,-0.2137889804393,1.27380323091341,-0.167835168926364,0.866712954120554,NA,28,34,22,21,24,0,2,6,5,18,11,12,17,0,13,16
"KH2013:KH.C4.233",50.2681276398277,-0.573025885922124,0.726801950183603,-0.788420952609397,0.430450518977962,NA,24,43,28,76,49,15,39,6,10,17,77,35,57,19,127,104
"KH2013:KH.C4.536",554.368745943172,-0.373845945210151,0.252539538854537,-1.48034619412799,0.13878088129564,0.999929152946801,471,594,222,426,1108,621,729,448,266,376,1366,492,975,695,996,491
"KH2013:KH.C4.620",208.788869048647,0.207696891471729,0.372712391297394,0.557257811442076,0.577351295940506,NA,254,247,137,183,244,241,199,162,138,145,121,137,307,209,457,377
"KH2013:KH.C4.462",47.8417981882937,-0.359008353643395,0.7257552131841,-0.494668652903395,0.62083403241974,NA,36,38,16,34,73,28,40,27,15,12,18,32,123,133,83,86
"KH2013:KH.C4.326",1476.70387256891,-0.523894083324369,0.292146137462658,-1.79326034523162,0.0729313049676657,0.999929152946801,1168,1377,869,932,4000,3374,1684,1063,1584,1661,976,983,1853,702,1218,780
"KH2013:KH.C4.592",11.5657329349952,0.429370308591133,1.3821193865142,0.310660795862241,0.75605850385329,NA,0,11,3,14,2,4,2,4,4,9,31,17,6,13,18,7
"KH2013:KH.C4.685",19.4098866798427,1.90549886004531,1.18450514104152,1.60868770765303,0.107684644997377,NA,25,10,2,17,137,31,7,10,3,3,31,16,0,4,8,13
