"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","foxfdnnk418hpf1","foxfdnnk418hpf2","foxfdnnk420hpf1","foxfdnnk420hpf2","foxfnk412hpf1","foxfnk412hpf2","foxfnk415hpf1","foxfnk415hpf2","handrnoggin12hpf1","handrnoggin12hpf2","handrnoggin15hpf1","handrnoggin15hpf2","handrnoggin18hpf1","handrnoggin18hpf2","handrnoggin20hpf1","handrnoggin20hpf2"
"KH2013:KH.L41.60",571.624233156278,0.40490254692286,0.33125264058045,1.22233756752355,0.221579998200498,0.439675708713271,490,576,485,627,775,771,527,424,322,411,885,415,3057,767,1425,923
"KH2013:KH.L42.8",701.043894735236,-0.092077162171769,0.268649644848727,-0.342740680798653,0.731793555492921,0.85897515776097,814,788,555,632,1132,952,801,636,445,516,760,511,2372,1154,1477,954
"KH2013:KH.L42.7",18.9100532321434,2.59767792014626,1.33024386579077,1.95278323542734,0.050845285855617,0.174905038658526,11,14,9,7,32,4,17,9,7,10,10,17,41,5,9,20
"KH2013:KH.L42.11",74.7692700845842,1.22487250595582,0.684524995768935,1.78937586432459,0.0735543036470598,0.223780748430538,76,93,43,59,71,60,42,65,31,39,334,71,211,112,95,53
"KH2013:KH.L42.6",85.0824031184204,-0.735068306138804,0.522538056157656,-1.40672683544608,0.159508405101094,0.364962211286124,67,82,94,132,43,53,118,75,52,46,199,75,246,163,269,119
"KH2013:KH.L42.13",15.7751100922133,0.129419932223827,0.861032671957221,0.150307806473408,0.880521774286137,0.944233638870835,31,23,20,35,17,8,17,19,4,6,20,23,79,44,37,39
"KH2013:KH.L42.3",2922.65370478435,1.09814722589847,0.307989024985885,3.56554012257028,0.00036310760344896,0.00492319830420957,3086,3098,2533,3291,3362,3285,4688,3370,2155,2645,2899,2459,7357,3788,5474,4144
"KH2013:KH.L42.1",5.41622429131433,4.3470482659002,2.44264914039992,1.77964497397628,0.0751340810382269,NA,3,3,1,1,16,9,13,2,2,0,4,5,0,6,0,2
"KH2013:KH.L42.2",78.4519442944939,-1.09934740548837,0.653493034298973,-1.68226338734839,0.0925177773876674,0.259208413454786,97,67,117,89,114,55,101,78,45,38,178,66,201,84,140,93
"KH2013:KH.L42.10",4.68861257841976,1.50558954159968,1.31364692739518,1.14611430986642,0.251747857369439,NA,10,4,19,1,1,5,5,2,7,0,19,7,6,20,9,12
"KH2013:KH.L42.14",9.96978327278343,1.46773362273,1.60402198046105,0.915033360271111,0.360174117072192,0.587117399372204,8,13,3,11,3,73,23,4,1,12,14,37,19,62,6,10
"KH2013:KH.L42.4",1092.37103034651,-0.342089946345051,0.223910245416521,-1.52779943458456,0.126562342705227,0.316778683774179,816,899,756,712,3158,2020,1167,809,1050,1226,1807,989,1894,1174,1108,814
"KH2013:KH.L43.4",3.43648056410541,-0.0907233371688671,2.89421080191617,-0.0313464855803875,0.974993218473279,NA,4,1,1,0,12,0,3,0,0,0,13,2,0,0,10,3
"KH2013:KH.L43.5",1.45983656237358,-0.334992934079495,3.74566040506257,-0.0894349454709573,0.928736252265257,NA,0,0,0,6,3,0,0,0,0,16,0,0,0,0,2,3
"KH2013:KH.L43.2",972.585768031364,0.236669388697668,0.310301881568471,0.762706908193351,0.445638209736389,0.660929889718215,1128,1063,802,1168,2047,1057,908,839,666,793,2745,932,2338,1394,2719,1565
"KH2013:KH.L43.3",148.525015502333,0.0713413497305883,0.533672520661074,0.133680013432612,0.893655610262111,0.9507601110807,103,141,79,120,378,307,164,115,84,138,322,111,492,235,255,161
"KH2013:KH.L43.1",124.608044277618,0.387355346726281,0.491484686696184,0.788133093891751,0.43061885937619,0.649996490430478,95,139,144,274,188,170,110,139,67,96,137,103,227,83,233,163
"KH2013:KH.L44.18",5.15632615944403,-2.3838636558438,1.46083874648466,-1.63184585675886,0.102711962299434,NA,6,5,1,3,4,4,9,1,3,3,19,4,16,26,3,6
"KH2013:KH.L44.21",47.7264203654284,-0.75959712925117,0.45507375535031,-1.66917366761008,0.0950829670869984,0.263958269554301,43,83,36,52,80,48,36,29,32,61,58,36,95,117,82,35
"KH2013:KH.L44.20",7.57190156666679,-2.68825360485846,1.35302363575476,-1.98684896096355,0.0469391370377418,NA,1,11,3,7,9,9,6,3,3,2,0,5,14,11,7,2
"KH2013:KH.L44.15",9.15227773781266,-1.40384144042017,0.932949780232977,-1.50473419916514,0.132392426866228,0.325629927574827,6,9,4,4,12,6,23,1,12,9,5,8,32,6,16,9
"KH2013:KH.L44.2",149.352514313783,-0.13266708007038,0.523462080810094,-0.253441624396305,0.799926965708071,0.899692276182444,127,143,184,108,150,149,247,130,100,63,313,100,366,175,297,164
"KH2013:KH.L44.9",30.7004511646357,-0.437723098168375,0.632979612614573,-0.691527956738329,0.489233818127068,0.694429781938911,50,26,29,33,28,31,20,21,12,30,32,21,124,62,70,63
"KH2013:KH.L44.11",224.814688544435,-0.740609769788553,0.296669127793518,-2.49641671614722,0.0125455124721464,0.0663503055138488,247,235,166,190,643,648,241,153,141,122,260,222,671,319,310,236
"KH2013:KH.L44.5",459.436859383299,0.823434088917048,0.235255763091215,3.50016542888168,0.000464969507800235,0.0059618072202354,465,424,413,548,554,740,747,550,292,296,664,455,1192,562,770,645
"KH2013:KH.L44.4",597.137916632086,-0.228198282927904,0.337653962391263,-0.675834754942026,0.499145565887315,0.702319522768142,556,665,307,778,1233,736,630,542,424,503,888,373,1147,482,1054,528
"KH2013:KH.L44.17",1.38116741178622,-2.02789252578869,3.28709693880898,-0.616925075085696,0.537284146637427,NA,1,0,0,0,0,2,1,0,0,0,0,4,1,3,3,0
"KH2013:KH.L44.1",0.260994459005245,-3.59284217097687,8.30134010531995,-0.432802671062035,0.665158132690691,NA,0,0,0,0,1,0,0,0,0,0,1,1,0,9,0,0
"KH2013:KH.L44.12",1.0423326743493,1.72675956887481,3.36910798116987,0.512527226353612,0.60828207046138,NA,2,0,2,0,0,0,0,0,0,0,3,1,22,6,0,4
"KH2013:KH.L44.10",1.58221987683913,-1.66440213041993,2.58554856128522,-0.643732689976085,0.51974878800844,NA,1,2,0,0,34,0,0,0,0,0,20,2,19,4,1,1
"KH2013:KH.L44.8",39.7153683055777,5.33001420231037,1.06974839934686,4.98249327184284,6.27701739145887e-07,3.09157718243839e-05,43,41,30,105,20,5,3,3,20,26,104,43,98,49,14,9
"KH2013:KH.L44.6",41.9307969700765,-2.43238952695596,1.18567386077729,-2.05148279591942,0.0402199533498962,0.147937461888724,8,39,16,29,54,85,9,9,32,15,74,23,14,18,27,40
"KH2013:KH.L44.24",12.043124826768,-2.32562207303683,1.52409256343977,-1.52590605638024,0.127033262181111,0.31752087203339,1,6,0,0,20,54,1,5,15,13,25,6,64,28,0,7
"KH2013:KH.L44.3",82.1003203463951,-0.392512356073401,0.555175987220875,-0.707005283204443,0.479563194598019,0.687196169881362,37,54,25,26,282,231,70,51,83,140,46,41,119,82,53,48
"KH2013:KH.L44.22",2593.0502378032,0.155588953889445,0.27071296632595,0.57473772313554,0.565468690812465,0.749278229410721,2440,2448,2044,2553,5292,4564,2870,2336,2142,2121,1893,1743,7074,3179,4768,3010
"KH2013:KH.L44.7",77.5387480085944,-0.217611202424536,0.497927768321387,-0.43703367490057,0.662086926400157,0.814507517082046,44,45,29,17,149,235,44,51,161,74,30,42,127,37,54,33
"KH2013:KH.L44.13",198.381374197768,0.0608090548907123,0.627518361891324,0.0969040247801441,0.922802612540162,0.964105196886988,148,147,94,85,235,790,135,153,353,276,158,107,151,119,149,63
"KH2013:KH.L44.25",96.5782520661996,0.141871376067883,0.526096077471104,0.269668188270564,0.787415536200134,0.892212927531179,82,41,86,97,80,147,79,60,46,75,176,84,87,80,124,85
"KH2013:KH.L44.19",48.4013909272664,0.00801431759015082,1.07050039048238,0.00748651533563615,0.994026680798212,0.997105287694791,16,81,37,24,108,5,52,29,10,26,465,165,7,4,98,47
"KH2013:KH.L44.14",11.2855933697011,1.36008657769068,1.25588877268118,1.0829673831601,0.278822900754965,0.504247218955064,10,6,35,20,8,2,2,1,0,0,11,11,57,38,94,66
"KH2013:KH.L45.4",4.79680382149821,2.12726230632172,2.72153387100922,0.781640944829716,0.434425616837505,NA,1,9,3,0,18,0,0,1,0,0,1,10,3,5,1,1
"KH2013:KH.L45.1",9.09300482168266,-1.15126821300435,1.84580325590876,-0.623722062098938,0.532810131591868,0.727597249238012,13,6,0,0,42,2,6,1,2,0,0,6,12,23,4,8
"KH2013:KH.L45.3",17.7804386966981,0.532729595317318,1.3671553159033,0.389662819666788,0.696785893124958,0.837391438743761,2,25,18,7,90,53,24,23,3,3,16,9,13,4,17,21
"KH2013:KH.L45.2",539.304420925315,0.116205294266006,0.390360167337734,0.297687376912786,0.765941778649277,0.879301531230209,531,409,424,416,658,803,1029,634,433,419,575,315,1406,899,970,727
"KH2013:KH.L46.13",440.276481959964,-0.481441008796694,1.10212957639603,-0.436827954813632,0.662236123883649,0.814533815759227,128,234,139,157,3662,1373,646,534,114,1179,908,13,1348,1024,162,15
"KH2013:KH.L46.7",33.9693082197942,-1.20866380459949,0.570711347297523,-2.11781982314325,0.03419032984173,0.131967217999046,46,36,47,37,26,28,33,40,20,8,24,33,116,51,72,75
"KH2013:KH.L46.3",65.6677804054265,0.33821798399715,0.403641484986395,0.83791680631774,0.402077429132332,0.625470137225872,64,79,78,59,81,43,70,69,31,39,45,24,215,127,90,93
"KH2013:KH.L46.10",9.73692790282779,3.02169960766494,1.95375914355097,1.54660804410772,0.121957788824835,0.310525855923871,7,6,34,10,11,0,0,4,3,0,2,9,10,32,72,20
"KH2013:KH.L46.16",82.6574369077947,-0.848028701289455,0.581391657108402,-1.45861862811584,0.144670103592208,0.344639340239756,41,53,69,54,179,238,74,43,24,31,53,73,112,74,148,84
"KH2013:KH.L46.15",404.963310550473,-0.201071086711124,0.334793081092315,-0.600583160366092,0.54811765674443,0.738140272105638,280,351,336,363,1176,1318,515,487,275,234,463,244,1118,361,539,408
