GeneID,UniqueNAME,NewAnnotation_ASMTVC2.best_model,coevcoew_logfc,coevcoew_pval,coevlacz_logfc,coevlacz_pval,coewvlacz_logfc,coewvlacz_pval
KH2013:KH.C10.493,KH2013:KH.C10.493,KYOTOGRAIL2005.7.4.1,1.958680623,0.01781215,1.459460096,0.271593043,-0.499220527,0.810477517
KH2013:KH.C11.185,KIF26B,KYOTOGRAIL2005.135.10.1,1.08077011,0.030215105,0.930399979,0.202171459,-0.150370131,0.935570803
KH2013:KH.C11.319,FBXO16,KYOTOGRAIL2005.49.26.1,1.623021718,0.001441965,0.096344045,0.981306413,-1.526677673,0.005764355
KH2013:KH.C11.332,RYR1/2/3,KYOTOGRAIL2005.49.25.1,1.733388902,0.002089282,0.415484827,0.817894277,-1.317904076,0.044949411
KH2013:KH.C11.417,NOVA1/2,KYOTOGRAIL2005.2054.1.1,1.251080861,0.017055503,0.084124323,0.981683284,-1.166956538,0.041616099
KH2013:KH.C11.432,LCT,KYOTOGRAIL2005.63.16.1,2.058860636,0.043086155,0.45994439,0.901889239,-1.598916246,0.191102204
KH2013:KH.C11.488,PAX1/9,KYOTOGRAIL2005.764.1.1,1.507228933,0.009070159,1.341688568,0.084307529,-0.165540364,0.942456308
KH2013:KH.C11.648,SERPINB6C,KYOTOGRAIL2005.63.6.1,2.331825888,0.011580332,1.21841945,0.48155918,-1.113406439,0.446702065
KH2013:KH.C12.14,CDH10/11/12/18/19/20/22/24/5/6/7/8/9,KYOTOGRAIL2005.983.1.1,1.870983387,0.001102595,0.169411439,0.960996219,-1.701571948,0.006633031
KH2013:KH.C12.156,NAS-30/33/36/37/38/39,KYOTOGRAIL2005.958.2.1,1.713598885,0.010736367,1.490219419,0.107967924,-0.223379465,0.93078264
KH2013:KH.C12.218,KH2013:KH.C12.218_ACHE,KYOTOGRAIL2005.124.22.1,1.38015687,0.039102778,0.673773171,0.619542845,-0.706383699,0.496084371
KH2013:KH.C12.419,KH2013:KH.C12.419_TSPAN4/9,KYOTOGRAIL2005.84.22.1,1.999744869,0.00011173,1.424493036,0.042584149,-0.575251833,0.564414155
