GeneID,UniqueNAME,NewAnnotation_ASMTVC2.best_model,coevcoew_logfc,coevcoew_pval,coevlacz_logfc,coevlacz_pval,coewvlacz_logfc,coewvlacz_pval
KH2013:KH.C10.451,KH2013:KH.C10.451_F58F9.1/6/8/9,KYOTOGRAIL2005.130.21.1,-1.245150294,0.01781215,-0.385014961,0.802171085,0.860135333,0.199829516
KH2013:KH.C10.464,HRH1,KYOTOGRAIL2005.38.62.1,-2.60804206,0.0000449,-1.062883119,0.379029847,1.545158941,0.05063712
KH2013:KH.C10.498,EIF2AK4,KYOTOGRAIL2005.1024.2.1,-1.017996824,0.037472,-0.406285908,0.729932093,0.611710917,0.378630101
KH2013:KH.C10.529,KH2013:KH.C10.529_CG9517,KYOTOGRAIL2005.7.46.1,-1.317732396,0.0463539,-0.146897072,0.969559455,1.170835325,0.113974878
KH2013:KH.C10.574,ZFPM1/2,KYOTOGRAIL2005.9.51.1,-1.177100437,0.02173105,-0.328760187,0.841956567,0.84834025,0.186785311
KH2013:KH.C11.151,KH2013:KH.C11.151_C3/4/5,KYOTOGRAIL2005.250.16.1,-2.02532557,0.004606317,-0.532318304,0.809595879,1.493007266,0.084367743
KH2013:KH.C11.162,KH2013:KH.C11.162_CG8193,KYOTOGRAIL2005.12.44.1,-1.290350623,0.000166041,-0.364344786,0.678913249,0.926005837,0.021525183
KH2013:KH.C11.287,KH2013:KH.C11.287_UNC93A,KYOTOGRAIL2005.133.16.1,-1.58128857,0.001217751,-0.523154189,0.657406262,1.058134381,0.081900885
KH2013:KH.C11.370,KH2013:KH.C11.370_GBH-2,KYOTOGRAIL2005.75.25.1,-1.047419998,0.00275478,-0.158430373,0.920017096,0.888989625,0.024508765
KH2013:KH.C11.404,CYP2J2/6,KYOTOGRAIL2005.36.35.1,-1.70775351,0.000114381,-0.086242279,0.981306413,1.621511231,0.000597951
KH2013:KH.C11.608,IRX1/2/3/5,KYOTOGRAIL2005.12.23.1,-1.452648305,0.005564878,-0.542828166,0.655503375,0.909820139,0.187204213
KH2013:KH.C11.636,SPRED1/2/3,KYOTOGRAIL2005.253.10.1,-1.248774109,0.039102778,-0.679355401,0.553038415,0.569418708,0.574721117
KH2013:KH.C11.721,KH2013:KH.C11.721_GPR144,KYOTOGRAIL2005.49.46.1,-1.981777342,0.003322669,-0.830602353,0.557454185,1.151174988,0.208891442
KH2013:KH.C12.13,FRAS1,KYOTOGRAIL2005.2833.1.1,-1.141334282,0.048278139,0.379578779,0.81490633,1.520913061,0.005607963
KH2013:KH.C12.2,PIKFYVE,KYOTOGRAIL2005.422.12.1,-1.159919716,0.043086155,-0.202479351,0.937095964,0.957440364,0.151248607
KH2013:KH.C12.225,RASSF/2/4/6,KYOTOGRAIL2005.201.8.1,-1.932479443,0.00529374,-1.538183583,0.118970559,0.394295861,0.840664228
KH2013:KH.C12.376,KH2013:KH.C12.376_Ci-cluster,KYOTOGRAIL2005.166.30.1,-1.101315438,0.021013966,0.347366885,0.802069837,1.448682323,0.001905286
KH2013:KH.C12.453,KH2013:KH.C12.453_TMEM150A,KYOTOGRAIL2005.166.31.1,-1.458530071,0.00012941,-0.237899254,0.873512248,1.220630817,0.004002473
KH2013:KH.C12.549,KH2013:KH.C12.549_ACAN,KYOTOGRAIL2005.35.1.1,-1.554603814,0.017307707,0.584292874,0.713967382,2.138896688,0.000634386
KH2013:KH.C12.72,NTN1/2/3/5,KYOTOGRAIL2005.203.22.1,-1.339364498,0.031926677,-1.10098207,0.242350003,0.238382428,0.906240696
KH2013:KH.C12.98,KH2013:KH.C12.98,KYOTOGRAIL2005.35.28.1,-1.054652123,0.033761509,0.191908431,0.926186588,1.246560554,0.012630079
KH2013:KH.C13.106,GMDS,KYOTOGRAIL2005.190.21.1,-1.08929876,0.046853754,-0.735754524,0.413864537,0.353544236,0.769751945
KH2013:KH.C13.22,SP1/5/6/7/8/9,KYOTOGRAIL2005.142.17.1,-2.299338172,0.009113253,0.338626255,0.935720999,2.637964427,0.003327561
KH2013:KH.C13.51,NR1D1/2,KYOTOGRAIL2005.88.22.1,-1.315589045,0.00275478,-0.191777228,0.923851895,1.123811816,0.022983105
KH2013:KH.C13.80,NAV1,KYOTOGRAIL2005.79.6.1,-1.506890509,0.003043111,-0.515723983,0.678913249,0.991166526,0.125587863
KH2013:KH.C13.81,MYOC,KYOTOGRAIL2005.645.3.1,-1.670133294,0.016398461,-0.607894537,0.728817106,1.062238757,0.254912024
KH2013:KH.C13.88,ERP44,KYOTOGRAIL2005.408.4.1,-1.155023512,0.022514646,-0.879047161,0.271756312,0.27597635,0.839214029
KH2013:KH.C14.152,KH2013:KH.C14.152_Ci-META4,KYOTOGRAIL2005.55.46.1,-1.934946327,0.000647272,0.175071702,0.958154162,2.110018029,0.000334634
KH2013:KH.C14.245,KH2013:KH.C14.245_TMED6,KYOTOGRAIL2005.67.50.1,-2.599345924,0.000127648,-1.168671989,0.351096926,1.430673935,0.108775567
KH2013:KH.C14.327,TMEM129,KYOTOGRAIL2005.66.63.1,-1.031288579,0.030603207,-0.594765744,0.488551834,0.436522835,0.602525956
KH2013:KH.C14.368,ARL1,KYOTOGRAIL2005.136.34.1,-1.131981538,0.015678781,-0.345553422,0.802069837,0.786428116,0.187204213
KH2013:KH.C14.407,KH2013:KH.C14.407_Ci-META4,KYOTOGRAIL2005.55.47.1,-3.341022534,0.0000166,-0.485877493,0.873512248,2.855145041,0.000595473
KH2013:KH.C14.565,CCKLR-17D1/3,KYOTOGRAIL2005.136.38.1,-1.209485769,0.046853754,-0.393962029,0.821534792,0.815523739,0.306312099
KH2013:KH.C14.604,HAND/1/2,KYOTOGRAIL2005.67.48.1,-1.668159861,0.020305705,-1.133209628,0.334877288,0.534950232,0.73073792
