GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
KH2013:KH.C1.470,7.2514413001,-1.1188629722,0.6293863479,-1.7777045467,0.0754523925,NA
KH2013:KH.C1.101,83.1847138985,-0.3985116963,0.4486832271,-0.8881805075,0.3744436622,0.7455436587
KH2013:KH.C1.82,458.1659050242,0.3160947077,0.2623931492,1.204660673,0.2283343238,0.6140974368
KH2013:KH.C1.246,233.9503687776,0.030589203,0.3921063336,0.0780125196,0.9378180942,0.9843585901
KH2013:KH.C1.59,460.726044565,0.488096129,0.346119607,1.4101949707,0.1584821205,0.5232506523
KH2013:KH.C1.933,733.0090202346,0.226893944,0.3181390917,0.7131910221,0.475727561,0.809369307
KH2013:KH.C1.983,2777.3264123733,0.5143411567,0.3001666689,1.7135185548,0.0866171828,0.3897427862
KH2013:KH.C1.535,864.2966893055,0.5477299618,0.3020618483,1.813304013,0.0697849447,0.3493891309
KH2013:KH.C1.1221,64.7221316237,1.0853937322,0.5172116138,2.0985486466,0.0358567073,0.2463092467
KH2013:KH.C1.936,400.8971602371,-0.3390231689,0.3799533186,-0.8922758462,0.3722450973,0.7438247322
KH2013:KH.C1.191,7.4926804807,0.2180236853,0.663228351,0.3287309491,0.7423590593,NA
KH2013:KH.C1.68,44.550068294,0.2548090564,0.4554169792,0.5595071507,0.5758156524,0.8578136963
KH2013:KH.C1.309,128.2520572753,-1.1356047901,0.4474773715,-2.5377926628,0.0111554052,0.1293820637
KH2013:KH.C1.199,319.6565335395,-0.5607168399,0.3458179896,-1.6214218366,0.1049272007,0.4296456676
KH2013:KH.C1.991,56.7999597916,0.866837674,0.4690652078,1.8480110221,0.0646007484,0.3358247036
KH2013:KH.C1.449,14.1503089079,-0.1640004062,0.5994706902,-0.2735753538,0.7844109765,NA
KH2013:KH.C1.317,996.3232733165,0.0749819857,0.1961445059,0.3822793065,0.7022542022,0.9134453355
KH2013:KH.C1.1152,10.7317910123,-0.5371642142,0.66286608,-0.8103661212,0.4177297833,NA
KH2013:KH.C1.863,57.9411123542,0.0364362457,0.5259083222,0.0692825044,0.9447647517,0.9855930826
KH2013:KH.C1.1284,50.6080667693,0.0390447482,0.4743168376,0.0823178626,0.9343939504,0.9840037955
KH2013:KH.C1.787,3669.4110070649,-0.3760942047,0.2240272009,-1.678788126,0.0931933436,0.4035619494
KH2013:KH.C1.677,4004.6455778153,0.3793616497,0.1559748048,2.4321982652,0.0150074899,0.151755845
KH2013:KH.C1.809,94.5395057138,-0.129486397,0.4302890137,-0.300928894,0.7634687167,0.9370108521
KH2013:KH.C1.1081,1106.0127733694,0.3429088976,0.2736047397,1.2533002828,0.2100964456,0.5905201465
KH2013:KH.C1.63,615.3729817793,0.4867603987,0.3058554277,1.5914721616,0.1115033556,0.4430687916
KH2013:KH.C1.1122,32.6851484702,-1.9311885107,0.6095589303,-3.1681735998,0.0015339989,0.0363680206
KH2013:KH.C1.1158,1.9446330264,-0.1394915118,0.499603159,-0.2792046233,0.7800877958,NA
KH2013:KH.C1.99,264.3540941741,-0.6519286435,0.5058231448,-1.2888470016,0.1974512821,0.5748807323
KH2013:KH.C1.1053,8.1980171187,-0.0617732045,0.635843137,-0.0971516415,0.9226059708,NA
