GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
KH2013:KH.C1.98,5987.6356376854,0.6531492772,0.1889787215,3.4562053962,0.0005478377,0.0120597262
KH2013:KH.C1.779,44.657067832,-0.1014539849,0.550272732,-0.1843703658,0.8537229159,0.9541022444
KH2013:KH.C1.515,128.070617553,1.4742235678,0.4226693227,3.4878887311,0.0004868506,0.0110122926
KH2013:KH.C1.414,15.551403168,0.5506268891,0.6634915995,0.8298927817,0.4065994064,0.7060150151
KH2013:KH.C1.769,3.4427791812,-0.4692488827,0.518719822,-0.9046287856,0.3656620801,NA
KH2013:KH.C1.879,5.4994005693,0.2712772978,0.6180491349,0.4389251314,0.6607157861,NA
KH2013:KH.C1.1287,189.8935418039,0.0249065491,0.3829786671,0.0650337766,0.9481471073,0.9854334442
KH2013:KH.C1.667,21.7387733484,-0.2892584813,0.6380052283,-0.4533794841,0.6502755069,0.8635582781
KH2013:KH.C1.553,94.5583202052,-0.2196592194,0.5951519813,-0.369080884,0.712067437,0.8956581375
KH2013:KH.C1.470,7.2514413001,0.0118230126,0.6392071798,0.0184963701,0.9852428733,0.9961407907
KH2013:KH.C1.101,83.1847138985,0.598477368,0.4382219196,1.3656947341,0.1720347979,0.4592647027
KH2013:KH.C1.82,458.1659050242,-0.634753563,0.2619084705,-2.4235701955,0.0153687828,0.1173520113
KH2013:KH.C1.246,233.9503687776,-0.2297522634,0.3898435991,-0.5893447115,0.5556300571,0.8104895781
KH2013:KH.C1.59,460.726044565,-0.5601202137,0.3459928968,-1.6188777831,0.1054735619,0.3549150751
KH2013:KH.C1.933,733.0090202346,-0.2646293287,0.3173221165,-0.8339454292,0.4043117358,0.7043048705
KH2013:KH.C1.983,2777.3264123733,0.7956615662,0.2996532673,2.655274122,0.0079243984,0.0776337749
KH2013:KH.C1.535,864.2966893055,0.7509382828,0.3005048349,2.4989224649,0.0124571563,0.1028496674
KH2013:KH.C1.1221,64.7221316237,-0.7549529521,0.5226698482,-1.4444164987,0.1486218525,0.4251546255
KH2013:KH.C1.936,400.8971602371,0.4883877859,0.3765422167,1.2970332787,0.1946197367,0.4915079238
