foxf1_ko_10hpf_rnaseq_june_6	foxf_ko_10hpf_rnaseq_may_31	lacz1_ko_10hpf_rnaseq_may_31	lacz2_ko_10hpf_rnaseq_june_6	ngn2_ko_10hpf_rnaseq_june_6	ngn2_ko_10hpf_rnaseq_may_31
KH2013:KH.S1577.1	242	382	250	149	191	690
KH2013:KH.S1577.2	36	155	76	30	42	203
KH2013:KH.S1577.3	63	212	111	38	61	285
KH2013:KH.S1579.1	9	18	10	6	4	24
KH2013:KH.S1582.1	46	99	50	15	21	155
KH2013:KH.S1583.1	1	4	0	0	1	4
KH2013:KH.S1585.1	21	72	29	20	19	75
KH2013:KH.S1585.2	2	7	4	2	4	14
KH2013:KH.S1588.1	1	0	2	0	1	4
KH2013:KH.S1589.1	1	0	2	0	0	0
KH2013:KH.S1593.1	1	0	0	0	0	0
KH2013:KH.S1593.2	3	4	0	0	2	21
KH2013:KH.S1594.1	10	31	22	3	5	64
KH2013:KH.S1594.2	17	36	16	11	21	74
KH2013:KH.S1598.1	69	152	60	49	63	224
KH2013:KH.S1598.2	80	214	111	54	102	294
KH2013:KH.S1600.1	14	34	22	5	4	38
KH2013:KH.S1600.2	320	498	247	149	229	676
KH2013:KH.S1609.1	0	2	2	0	1	11
KH2013:KH.S1610.1	2	84	37	0	1	109
KH2013:KH.S1610.2	0	0	0	0	0	3
KH2013:KH.S1614.1	0	0	0	1	0	1
KH2013:KH.S1615.1	0	0	1	0	0	0
KH2013:KH.S1622.1	0	0	0	0	0	1
KH2013:KH.S1622.2	0	1	0	0	0	0
KH2013:KH.S1633.1	1	5	1	0	1	12
KH2013:KH.S1636.1	0	7	1	0	0	2
KH2013:KH.S164.1	211	519	263	158	194	805
KH2013:KH.S164.10	20	107	32	20	58	104
KH2013:KH.S164.11	135	261	191	93	122	362
KH2013:KH.S1641.1	816	3972	1071	1022	2185	4001
KH2013:KH.S164.12	161	694	210	189	389	767
KH2013:KH.S1641.2	52	154	62	24	53	210
KH2013:KH.S164.13	182	620	279	199	272	1026
KH2013:KH.S164.14	59	212	96	58	99	332
KH2013:KH.S164.15	194	412	228	163	193	757
KH2013:KH.S164.16	122	1744	821	72	77	2090
KH2013:KH.S164.17	27	60	28	13	25	96
KH2013:KH.S164.18	629	1609	812	462	584	2858
KH2013:KH.S164.19	236	642	350	181	227	902
KH2013:KH.S164.2	1	1	0	0	1	1
KH2013:KH.S164.20	118	258	141	90	98	393
KH2013:KH.S164.21	60	281	65	65	147	298
KH2013:KH.S1642.1	60	162	109	54	70	287
KH2013:KH.S164.22	0	0	0	1	0	2
KH2013:KH.S1642.2	538	1289	941	513	602	2382
KH2013:KH.S164.23	29	79	42	27	35	122
KH2013:KH.S164.24	518	1226	555	425	536	1766
KH2013:KH.S164.25	92	228	109	62	110	340
KH2013:KH.S164.26	120	459	273	97	115	591
KH2013:KH.S164.27	93	183	128	63	100	275
KH2013:KH.S164.28	152	708	163	180	345	665
KH2013:KH.S164.29	100	182	107	65	101	375
KH2013:KH.S164.3	129	338	157	96	139	439
KH2013:KH.S164.30	155	407	228	113	122	668
KH2013:KH.S164.31	31	175	40	35	55	120
KH2013:KH.S164.32	0	3	0	3	0	0
KH2013:KH.S164.4	71	182	124	61	81	250
KH2013:KH.S1644.1	1	9	2	1	1	3
KH2013:KH.S164.5	24	51	15	9	8	75
KH2013:KH.S164.6	19	55	38	22	21	65
KH2013:KH.S164.7	0	13	6	1	4	14
KH2013:KH.S164.8	157	304	183	107	138	580
KH2013:KH.S164.9	198	613	280	212	204	856
KH2013:KH.S1653.1	0	3	3	0	1	1
KH2013:KH.S1653.2	1	6	2	0	0	13
KH2013:KH.S1658.1	60	58	28	34	59	86
KH2013:KH.S1660.1	22	43	28	13	25	78
KH2013:KH.S1665.1	150	505	268	139	137	816
KH2013:KH.S1666.1	5	8	6	3	6	10
KH2013:KH.S1670.1	3	45	15	1	1	57
KH2013:KH.S1681.1	0	0	0	0	0	0
KH2013:KH.S1691.1	0	0	0	0	0	0
KH2013:KH.S1697.1	9	43	17	11	11	42
KH2013:KH.S1697.2	0	12	2	1	0	3
KH2013:KH.S1716.1	19	41	27	23	23	52
KH2013:KH.S1716.2	8	20	16	6	9	15
KH2013:KH.S1716.3	15	54	29	15	24	56
KH2013:KH.S1717.1	0	2	0	0	0	2
KH2013:KH.S1717.2	0	0	0	0	1	1
KH2013:KH.S1718.1	40	74	50	33	26	160
KH2013:KH.S1721.1	7	41	10	9	30	37
KH2013:KH.S1725.1	5	15	6	3	6	25
KH2013:KH.S1729.1	19	88	49	20	28	107
KH2013:KH.S1735.1	15	44	12	21	11	80
KH2013:KH.S1735.3	498	1256	568	412	546	1832
KH2013:KH.S1735.4	0	6	1	1	4	7
KH2013:KH.S1737.1	93	220	100	66	93	339
KH2013:KH.S1737.2	88	176	63	47	80	223
KH2013:KH.S1737.3	138	304	139	94	127	423
KH2013:KH.S1740.1	134	273	141	91	111	404
KH2013:KH.S1740.2	376	859	476	303	436	1206
KH2013:KH.S1740.3	1	3	2	4	3	7
KH2013:KH.S1742.1	2	21	6	5	5	18
KH2013:KH.S1742.2	2	15	6	2	5	30
KH2013:KH.S1745.1	10	22	12	11	5	52
KH2013:KH.S1745.2	29	26	13	11	23	43
KH2013:KH.S1749.1	21	28	14	8	10	38
KH2013:KH.S1749.2	26	45	39	12	17	73
KH2013:KH.S1750.1	0	1	0	0	1	0
KH2013:KH.S1754.1	584	1583	664	433	603	1959
KH2013:KH.S1754.2	214	637	343	223	284	967
KH2013:KH.S1754.3	232	554	246	149	194	818
KH2013:KH.S1758.1	4	15	3	0	6	14
KH2013:KH.S1764.1	69	181	98	50	82	283
KH2013:KH.S1764.2	6	33	17	4	12	54
KH2013:KH.S1764.3	136	371	171	110	178	519
KH2013:KH.S1765.1	5	57	18	8	17	81
KH2013:KH.S1773.1	1	2	3	1	1	7
KH2013:KH.S1776.1	23	45	19	21	16	77
KH2013:KH.S1776.2	24	58	24	23	16	66
KH2013:KH.S1777.1	1	0	2	0	0	3
KH2013:KH.S1783.1	1	4	3	2	3	16
KH2013:KH.S1783.2	57	312	51	53	157	145
KH2013:KH.S1788.1	4	6	4	6	3	13
KH2013:KH.S1792.1	1	11	5	2	4	17
KH2013:KH.S1794.1	0	4	2	1	0	0
KH2013:KH.S1798.1	11	36	21	12	17	55
KH2013:KH.S1798.2	18	31	19	17	21	60
KH2013:KH.S1798.3	0	4	4	4	0	6
KH2013:KH.S1800.1	5	3	0	1	1	2
KH2013:KH.S1806.1	0	0	0	0	0	0
KH2013:KH.S1807.1	129	446	262	87	104	650
KH2013:KH.S1810.1	1	4	1	0	1	3
KH2013:KH.S1813.1	11	11	10	5	8	18
KH2013:KH.S1814.1	11	24	14	8	10	42
KH2013:KH.S1815.1	10	12	4	3	5	15
KH2013:KH.S1817.1	3	12	6	4	2	6
KH2013:KH.S1818.1	13	43	10	6	5	58
KH2013:KH.S1818.2	0	0	0	0	0	0
KH2013:KH.S1819.1	1	0	0	0	2	5
KH2013:KH.S1826.1	208	606	339	179	234	973
KH2013:KH.S1826.2	42	127	51	34	38	212
KH2013:KH.S1827.1	0	1	2	2	1	4
KH2013:KH.S1828.1	4	0	0	0	1	3
KH2013:KH.S1828.2	0	0	0	0	1	0
KH2013:KH.S1835.1	6	19	7	3	3	24
KH2013:KH.S1840.1	146	345	132	92	136	533
KH2013:KH.S1841.1	2	2	0	0	0	2
KH2013:KH.S1843.1	2	5	4	3	4	4
KH2013:KH.S1845.1	0	0	0	0	0	0
KH2013:KH.S1847.1	1	15	3	5	5	13
KH2013:KH.S1847.2	0	0	0	0	0	1
KH2013:KH.S1848.1	1	1	1	0	1	3
KH2013:KH.S1848.2	0	0	2	0	0	0
KH2013:KH.S1854.1	18	33	12	11	21	47
KH2013:KH.S1857.1	14	16	5	4	4	24
KH2013:KH.S1863.1	0	1	0	0	1	3
KH2013:KH.S1865.1	1	0	0	0	1	0
KH2013:KH.S1867.1	16	39	23	15	15	79
KH2013:KH.S1867.2	25	96	29	18	41	130
KH2013:KH.S1870.1	630	1413	609	371	540	1904
KH2013:KH.S1870.2	549	1273	608	315	503	1881
KH2013:KH.S1873.1	1	1	2	0	1	1
KH2013:KH.S1876.1	3	0	1	0	0	9
KH2013:KH.S1877.1	13	12	7	5	18	20
KH2013:KH.S1887.1	42	98	59	21	24	172
KH2013:KH.S1888.1	0	2	1	0	1	11
KH2013:KH.S1903.1	0	0	0	0	1	3
KH2013:KH.S1903.2	2	0	0	0	1	6
KH2013:KH.S1904.1	1	7	0	4	4	9
KH2013:KH.S1904.2	4	1	1	0	0	3
KH2013:KH.S1906.1	1	36	10	2	3	32
KH2013:KH.S1906.2	0	27	9	0	0	12
KH2013:KH.S1907.1	0	0	0	1	0	1
KH2013:KH.S1908.1	3	3	4	0	2	3
KH2013:KH.S1913.1	0	0	0	1	0	0
KH2013:KH.S1914.1	22	72	19	14	19	48
KH2013:KH.S1915.1	5	16	9	6	5	30
KH2013:KH.S1915.2	0	3	1	0	0	5
KH2013:KH.S1916.1	2	3	4	0	0	16
KH2013:KH.S1921.1	72	133	53	20	27	162
KH2013:KH.S1925.1	18	49	15	11	17	68
KH2013:KH.S1927.1	69	116	74	29	49	204
KH2013:KH.S1937.1	15	27	14	7	4	23
KH2013:KH.S1940.1	2	3	2	1	2	6
KH2013:KH.S1942.1	0	3	0	0	1	2
KH2013:KH.S1945.1	1	1	1	2	5	3
KH2013:KH.S1945.2	4	9	5	3	5	17
KH2013:KH.S1957.1	14	64	17	13	13	90
KH2013:KH.S1959.1	9	17	3	10	6	23
KH2013:KH.S1961.1	320	617	312	186	363	985
KH2013:KH.S1964.1	14	6	4	7	6	18
KH2013:KH.S1964.2	11	8	1	7	12	19
KH2013:KH.S1965.1	0	0	0	0	0	3
KH2013:KH.S1965.2	305	736	387	232	278	1049
KH2013:KH.S1969.1	18	49	29	7	19	71
KH2013:KH.S1974.1	1	5	1	1	1	6
KH2013:KH.S1985.1	18	17	6	8	14	20
KH2013:KH.S1987.1	1	9	6	2	2	21
KH2013:KH.S1990.1	33	51	19	8	6	54
KH2013:KH.S1993.1	73	104	52	56	56	126
KH2013:KH.S1993.2	25	84	31	11	18	113
KH2013:KH.S1996.1	6	18	6	3	19	10
KH2013:KH.S1998.1	0	2	0	0	1	7
KH2013:KH.S2003.1	0	2	0	0	0	2
KH2013:KH.S2003.2	38	153	55	34	44	194
KH2013:KH.S2006.1	9	31	12	11	10	50
KH2013:KH.S2011.1	47	95	35	25	39	116
KH2013:KH.S2020.1	155	470	246	204	203	629
KH2013:KH.S2024.1	40	127	74	26	40	190
KH2013:KH.S2031.1	0	0	0	0	0	0
KH2013:KH.S2032.1	0	4	2	5	6	12
KH2013:KH.S2037.1	0	0	0	0	0	0
KH2013:KH.S2039.1	3	20	13	8	4	28
KH2013:KH.S2047.1	0	0	0	1	0	2
KH2013:KH.S2049.1	49	81	25	24	44	83
KH2013:KH.S2049.2	47	54	19	21	39	65
KH2013:KH.S2051.1	32	231	56	45	120	170
KH2013:KH.S2053.1	12	44	23	12	12	57
KH2013:KH.S2058.1	7	24	10	9	5	51
KH2013:KH.S2058.2	0	0	0	0	0	0
KH2013:KH.S2060.1	7	24	5	8	9	23
KH2013:KH.S2067.1	5	12	2	3	6	21
KH2013:KH.S2084.2	9	32	7	11	18	34
KH2013:KH.S2101.1	7	4	1	5	5	13
KH2013:KH.S2102.1	0	3	2	0	1	1
KH2013:KH.S2102.2	11	29	15	9	7	39
KH2013:KH.S2106.1	4	5	0	3	6	8
KH2013:KH.S2107.1	11	43	11	17	13	48
KH2013:KH.S2114.1	2	10	3	2	2	6
KH2013:KH.S2122.1	1	6	2	2	1	3
KH2013:KH.S2128.1	120	297	142	100	120	436
KH2013:KH.S2130.1	1	0	0	0	0	2
KH2013:KH.S2142.1	6	14	3	3	4	18
KH2013:KH.S2142.2	10	15	3	4	6	26
KH2013:KH.S2145.1	0	0	1	0	3	1
KH2013:KH.S2148.1	33	107	49	28	60	181
KH2013:KH.S215.1	14	17	13	13	13	25
KH2013:KH.S215.10	42	170	83	47	66	246
KH2013:KH.S215.11	208	493	224	182	186	720
KH2013:KH.S215.12	0	1	0	0	0	0
KH2013:KH.S215.13	0	0	0	0	0	0
KH2013:KH.S215.14	281	578	309	214	298	742
KH2013:KH.S215.15	3	7	3	2	0	5
KH2013:KH.S215.16	3	7	10	1	1	24
KH2013:KH.S215.17	1	7	1	2	1	12
KH2013:KH.S215.18	3	34	33	2	5	47
KH2013:KH.S215.19	8	16	10	8	6	36
KH2013:KH.S215.2	11	8	1	2	2	7
KH2013:KH.S215.20	84	191	97	66	76	302
KH2013:KH.S215.21	34	94	51	31	37	168
KH2013:KH.S2152.1	18	80	22	17	20	77
KH2013:KH.S215.22	239	467	249	118	181	693
KH2013:KH.S215.23	7	28	11	3	2	14
KH2013:KH.S215.24	39	150	73	33	30	248
KH2013:KH.S215.3	769	2112	914	702	986	2678
KH2013:KH.S215.4	32	111	24	28	33	118
KH2013:KH.S215.5	35	25	13	15	14	51
KH2013:KH.S215.6	12	48	28	14	18	79
KH2013:KH.S215.7	12	44	11	11	24	42
KH2013:KH.S215.8	0	1	0	0	1	1
KH2013:KH.S215.9	349	896	462	299	357	1367
KH2013:KH.S2162.1	0	0	0	1	0	0
KH2013:KH.S2168.1	22	59	16	28	24	105
KH2013:KH.S2177.1	3	2	5	2	0	2
KH2013:KH.S2183.1	1	2	2	0	2	4
KH2013:KH.S2184.1	3	4	1	1	0	3
KH2013:KH.S2190.1	1	1	1	0	0	2
KH2013:KH.S2205.1	1	0	0	0	0	1
KH2013:KH.S2209.1	2	9	2	1	4	8
KH2013:KH.S2213.1	67	135	82	25	58	207
KH2013:KH.S2218.1	5	11	4	4	2	10
KH2013:KH.S2218.2	2	3	5	0	1	2
KH2013:KH.S2225.1	8	25	5	7	9	24
KH2013:KH.S2231.1	2	3	0	0	3	3
KH2013:KH.S2237.1	9	27	12	8	10	36
KH2013:KH.S2240.1	0	0	0	0	0	0
KH2013:KH.S2241.1	0	1	0	0	0	0
KH2013:KH.S2255.1	48	96	54	26	47	145
KH2013:KH.S2264.1	48	59	49	45	44	125
KH2013:KH.S2292.1	68	137	70	47	58	212
KH2013:KH.S2295.1	6	15	9	8	15	35
KH2013:KH.S2300.1	0	0	1	0	0	0
KH2013:KH.S2300.2	0	0	0	0	0	0
KH2013:KH.S2302.1	0	6	1	0	0	1
KH2013:KH.S2308.1	2	6	2	6	6	10
KH2013:KH.S2309.1	1	3	1	0	1	4
KH2013:KH.S2311.1	92	178	89	32	47	313
KH2013:KH.S2317.1	6	15	5	12	16	21
KH2013:KH.S2332.1	13	32	23	10	10	57
KH2013:KH.S2337.1	4	3	5	1	0	8
KH2013:KH.S2337.2	17	46	13	15	8	45
KH2013:KH.S2345.1	2	1	3	3	5	16
KH2013:KH.S2353.1	1	2	1	0	0	2
KH2013:KH.S2388.1	2	3	0	0	0	0
KH2013:KH.S2389.1	2	3	1	1	2	5
KH2013:KH.S2406.1	0	0	0	0	0	0
KH2013:KH.S2435.1	223	201	261	427	491	816
KH2013:KH.S2442.1	67	184	99	45	74	215
KH2013:KH.S2462.1	3	1	3	1	0	2
KH2013:KH.S2462.2	0	2	2	3	1	4
KH2013:KH.S2498.1	2	0	0	0	3	0
KH2013:KH.S2529.1	39	58	39	33	39	110
KH2013:KH.S2533.1	20	52	21	7	14	74
KH2013:KH.S2542.1	3	10	2	2	7	10
KH2013:KH.S2542.2	2	3	1	1	4	8
KH2013:KH.S256.1	959	2353	1192	594	761	3327
KH2013:KH.S256.10	1	1	3	0	1	15
KH2013:KH.S256.11	2	0	1	0	1	5
KH2013:KH.S256.12	9	22	47	11	17	93
KH2013:KH.S256.13	112	333	173	87	99	473
KH2013:KH.S256.14	0	0	0	0	0	2
KH2013:KH.S256.15	0	0	0	0	0	1
KH2013:KH.S256.16	151	381	162	95	149	621
KH2013:KH.S256.2	13	6	2	5	4	9
KH2013:KH.S256.3	1690	3673	1809	1304	1728	5320
KH2013:KH.S256.4	37	70	45	23	35	96
KH2013:KH.S256.5	60	232	91	43	88	317
KH2013:KH.S256.6	657	1613	775	523	726	2279
KH2013:KH.S256.7	32	10	7	13	16	8
KH2013:KH.S256.8	5	3	3	1	2	5
KH2013:KH.S256.9	0	2	0	0	0	0
KH2013:KH.S2569.1	27	63	31	20	30	99
KH2013:KH.S2570.1	0	2	4	0	2	4
KH2013:KH.S2570.2	7	27	21	10	8	23
KH2013:KH.S2577.1	0	0	0	0	1	0
KH2013:KH.S2579.1	14	52	21	8	19	55
KH2013:KH.S2580.1	0	0	0	0	0	0
KH2013:KH.S2583.1	0	4	1	1	0	6
KH2013:KH.S2583.2	0	2	3	0	0	6
KH2013:KH.S2590.1	1	14	1	0	0	4
KH2013:KH.S2590.2	0	1	1	0	1	7
KH2013:KH.S2600.1	0	0	0	0	0	0
KH2013:KH.S2602.1	0	1	2	0	0	2
KH2013:KH.S2618.1	17	44	12	5	9	36
KH2013:KH.S2624.1	8	25	9	2	8	46
KH2013:KH.S2635.1	30	71	66	32	33	173
KH2013:KH.S2646.1	1	9	2	0	2	10
KH2013:KH.S2649.1	3	10	5	5	6	11
KH2013:KH.S2661.1	2	2	2	0	2	8
KH2013:KH.S2662.1	0	0	0	0	1	0
KH2013:KH.S2671.1	1	5	2	0	4	10
KH2013:KH.S2708.1	0	2	1	0	0	2
KH2013:KH.S2733.1	2	4	2	1	0	5
KH2013:KH.S2734.1	25	72	41	9	20	181
KH2013:KH.S2739.1	1	8	1	3	5	6
KH2013:KH.S2763.1	0	1	0	0	0	2
KH2013:KH.S2775.1	0	0	0	0	0	0
KH2013:KH.S2789.1	20	42	13	20	14	38
KH2013:KH.S2800.1	0	1	0	1	1	0
KH2013:KH.S2809.1	0	4	2	1	1	6
KH2013:KH.S2820.1	159	402	196	136	161	567
KH2013:KH.S2820.2	351	887	462	241	345	1340
KH2013:KH.S2820.3	173	391	207	128	159	578
KH2013:KH.S2824.1	0	0	1	0	0	0
KH2013:KH.S2830.1	337	91	38	194	206	96
KH2013:KH.S2892.1	43	73	34	25	20	97
KH2013:KH.S2892.2	2	5	3	2	2	5
KH2013:KH.S2909.1	1	3	0	2	2	8
KH2013:KH.S298.1	4	12	9	3	2	17
KH2013:KH.S298.2	2	3	0	0	2	0
KH2013:KH.S3005.1	1	1	0	0	0	4
KH2013:KH.S3161.1	10	25	14	7	7	44
KH2013:KH.S3189.1	8	22	9	5	7	52
KH2013:KH.S3319.1	7	5	3	3	2	10
KH2013:KH.S345.1	2326	11295	3088	3250	6333	11085
KH2013:KH.S345.2	10	27	1	4	1	18
KH2013:KH.S345.3	282	727	298	241	250	940
KH2013:KH.S345.4	0	2	0	0	1	0
KH2013:KH.S345.5	3	3	1	1	0	3
KH2013:KH.S345.6	1	8	5	6	4	9
KH2013:KH.S345.7	0	0	0	0	0	1
KH2013:KH.S345.8	15	11	4	6	9	26
KH2013:KH.S346.1	89	279	147	60	102	448
KH2013:KH.S346.10	7	8	32	16	31	54
KH2013:KH.S346.11	79	234	114	72	115	321
KH2013:KH.S346.2	1	0	1	1	0	1
KH2013:KH.S346.3	71	133	66	34	49	150
KH2013:KH.S346.4	1	2	3	2	2	23
KH2013:KH.S346.5	50	138	57	51	58	185
KH2013:KH.S346.6	56	352	91	145	245	430
KH2013:KH.S346.7	0	2	0	0	0	0
KH2013:KH.S346.8	481	1168	564	340	582	1814
KH2013:KH.S346.9	12	42	13	5	10	55
KH2013:KH.S351.1	0	1	1	1	1	1
KH2013:KH.S351.2	0	5	2	0	1	9
KH2013:KH.S351.3	1187	2729	1486	985	1142	3972
KH2013:KH.S351.4	80	473	120	96	189	380
KH2013:KH.S351.5	17	55	19	5	10	23
KH2013:KH.S351.6	363	945	542	283	334	1592
KH2013:KH.S363.1	6	12	1	6	6	12
KH2013:KH.S363.2	4	17	15	9	11	44
KH2013:KH.S363.3	0	4	3	0	2	1
KH2013:KH.S363.4	320	577	333	208	308	1190
KH2013:KH.S363.5	0	0	0	0	0	2
KH2013:KH.S363.6	10529	26149	14472	6026	8327	39363
KH2013:KH.S363.7	557	1413	830	342	451	2534
KH2013:KH.S364.1	145	393	189	122	191	660
KH2013:KH.S364.10	29	53	31	20	24	84
KH2013:KH.S364.2	44	147	51	30	34	186
KH2013:KH.S364.3	42	61	44	14	31	93
KH2013:KH.S364.4	36	61	34	28	35	174
KH2013:KH.S364.5	142	356	181	115	131	494
KH2013:KH.S364.6	17	49	26	15	19	69
KH2013:KH.S364.7	0	0	0	0	0	0
KH2013:KH.S364.8	56	181	102	72	70	261
KH2013:KH.S364.9	308	836	417	237	318	1137
KH2013:KH.S369.1	283	726	339	229	332	885
KH2013:KH.S369.2	9	62	37	13	12	105
KH2013:KH.S369.3	2	0	1	0	0	0
KH2013:KH.S369.4	27	75	28	11	24	99
KH2013:KH.S369.5	6	21	4	1	7	13
KH2013:KH.S369.6	100	278	144	60	113	383
KH2013:KH.S369.7	3	22	5	0	5	19
KH2013:KH.S369.8	4	10	2	2	3	13
KH2013:KH.S388.1	11	2	2	13	10	4
KH2013:KH.S388.2	0	0	0	1	0	1
KH2013:KH.S388.3	0	1	0	1	1	7
KH2013:KH.S388.4	23	43	26	28	42	59
KH2013:KH.S388.5	32	40	38	27	21	106
KH2013:KH.S389.1	518	1111	674	398	389	1713
KH2013:KH.S389.10	102	512	158	151	242	513
KH2013:KH.S389.2	343	916	528	283	269	1227
KH2013:KH.S389.3	83	132	109	42	72	261
KH2013:KH.S389.4	512	1020	596	382	601	1616
KH2013:KH.S389.5	0	0	0	0	1	0
KH2013:KH.S389.6	39	75	54	25	32	91
KH2013:KH.S389.7	27	49	30	15	15	72
KH2013:KH.S389.8	83	225	101	47	80	310
KH2013:KH.S389.9	99	268	135	76	91	400
KH2013:KH.S390.1	697	1788	801	486	678	2735
KH2013:KH.S390.10	0	1	0	3	0	3
KH2013:KH.S390.11	66	214	97	60	82	297
KH2013:KH.S390.12	37	108	74	46	44	209
KH2013:KH.S390.2	456	1396	533	446	605	1843
KH2013:KH.S390.3	26	166	35	39	81	155
KH2013:KH.S390.4	10	53	12	14	11	45
KH2013:KH.S390.5	0	7	3	2	0	4
KH2013:KH.S390.6	23	272	119	47	49	320
KH2013:KH.S390.7	8	24	10	11	11	34
KH2013:KH.S390.8	59	150	73	51	66	245
KH2013:KH.S390.9	61	169	64	48	67	197
KH2013:KH.S391.1	1	3	3	5	2	16
KH2013:KH.S391.10	9	22	12	18	14	28
KH2013:KH.S391.11	9	8	5	2	5	9
KH2013:KH.S391.12	159	451	242	121	166	706
KH2013:KH.S391.13	153	426	269	162	136	676
KH2013:KH.S391.2	0	16	10	2	4	16
KH2013:KH.S391.3	17	60	56	43	53	118
KH2013:KH.S391.4	129	376	142	81	125	409
KH2013:KH.S391.5	32	105	41	24	34	116
KH2013:KH.S391.6	0	0	0	0	0	0
KH2013:KH.S391.7	0	0	0	0	0	6
KH2013:KH.S396.1	14	5	3	8	13	9
KH2013:KH.S396.2	205	463	236	143	226	713
KH2013:KH.S396.3	71	127	50	49	52	208
KH2013:KH.S396.4	40	35	56	40	28	143
KH2013:KH.S396.5	0	2	1	1	1	5
KH2013:KH.S396.6	49	86	73	50	71	189
KH2013:KH.S396.7	13	41	32	18	13	104
KH2013:KH.S396.8	36	79	37	27	37	94
KH2013:KH.S396.9	96	258	121	63	107	398
KH2013:KH.S403.1	14	44	16	11	10	46
KH2013:KH.S403.2	2131	4666	2255	1307	1909	6460
KH2013:KH.S403.3	421	1108	548	322	430	1630
KH2013:KH.S403.4	744	2489	867	849	1169	3064
KH2013:KH.S403.5	266	777	353	219	277	1079
KH2013:KH.S403.6	7	53	28	11	18	85
KH2013:KH.S403.7	529	1215	535	329	449	1571
KH2013:KH.S403.8	545	1440	830	398	503	2141
KH2013:KH.S403.9	33	127	54	29	36	120
KH2013:KH.S404.1	995	3442	1519	1021	1418	5031
KH2013:KH.S404.10	41	112	71	48	31	186
KH2013:KH.S404.11	150	343	220	121	131	608
KH2013:KH.S404.12	58	147	79	126	40	491
KH2013:KH.S404.2	99	243	136	83	94	340
KH2013:KH.S404.3	137	397	247	117	165	825
KH2013:KH.S404.4	15	65	36	22	25	121
KH2013:KH.S404.5	31	83	33	26	25	138
KH2013:KH.S404.6	9	29	14	10	9	46
KH2013:KH.S404.7	106	311	146	92	103	488
KH2013:KH.S404.8	34	115	44	83	35	308
KH2013:KH.S404.9	3	15	2	7	11	21
KH2013:KH.S406.1	10	41	30	12	10	88
KH2013:KH.S406.10	48	100	41	29	24	144
KH2013:KH.S406.11	75	275	112	67	98	347
KH2013:KH.S406.12	5	34	10	9	9	47
KH2013:KH.S406.13	97	272	132	83	89	333
KH2013:KH.S406.14	862	1885	879	575	821	3048
KH2013:KH.S406.15	222	529	253	270	265	1109
KH2013:KH.S406.16	237	468	272	159	205	804
KH2013:KH.S406.17	2	10	6	4	6	18
KH2013:KH.S406.18	2	4	0	1	1	6
KH2013:KH.S406.19	61	126	59	45	52	193
KH2013:KH.S406.2	44	69	37	21	39	99
KH2013:KH.S406.20	31	47	27	27	19	68
KH2013:KH.S406.21	275	545	357	175	248	892
KH2013:KH.S406.22	68	139	82	55	73	235
KH2013:KH.S406.3	400	1013	449	291	361	1607
KH2013:KH.S406.4	0	0	0	4	0	4
KH2013:KH.S406.5	257	647	267	154	237	974
KH2013:KH.S406.6	150	404	201	125	150	639
KH2013:KH.S406.7	281	748	358	175	236	970
KH2013:KH.S406.8	381	943	570	298	409	1545
KH2013:KH.S406.9	547	2642	737	684	1204	2775
KH2013:KH.S417.2	1	0	0	0	0	3
KH2013:KH.S417.3	81	405	124	119	207	345
KH2013:KH.S417.4	0	0	0	0	0	0
KH2013:KH.S417.5	3	5	8	4	6	21
KH2013:KH.S417.6	22	35	39	37	21	67
KH2013:KH.S423.1	54	257	97	77	111	316
KH2013:KH.S423.2	46	217	80	58	81	311
KH2013:KH.S423.3	617	1457	702	318	439	2063
KH2013:KH.S423.4	6	22	6	3	2	20
KH2013:KH.S423.5	1	1	1	0	2	9
KH2013:KH.S423.6	7954	18591	10058	3882	5813	27348
KH2013:KH.S423.8	4	17	11	0	5	27
KH2013:KH.S424.1	7	7	2	3	3	10
KH2013:KH.S424.10	6	2	6	3	14	11
KH2013:KH.S424.11	13	32	14	8	15	36
KH2013:KH.S424.2	55	104	33	45	44	160
KH2013:KH.S424.3	137	326	203	108	138	597
KH2013:KH.S424.4	2	15	2	6	10	14
KH2013:KH.S424.5	0	0	3	0	1	5
KH2013:KH.S424.6	4	7	2	3	1	10
KH2013:KH.S424.7	9	5	3	4	11	13
KH2013:KH.S424.8	10	52	20	9	7	75
KH2013:KH.S425.1	516	1241	645	382	559	1952
KH2013:KH.S425.10	46	119	59	48	52	209
KH2013:KH.S425.11	0	0	0	0	0	4
KH2013:KH.S425.12	0	0	0	0	0	0
KH2013:KH.S425.13	11	44	17	10	22	52
KH2013:KH.S425.2	0	0	0	0	0	0
KH2013:KH.S425.3	6	28	10	6	6	45
KH2013:KH.S425.4	151	393	197	120	157	540
KH2013:KH.S425.5	61	222	127	62	86	325
KH2013:KH.S425.6	3	8	4	4	6	4
KH2013:KH.S425.7	2	0	0	0	0	0
KH2013:KH.S425.8	5	12	5	4	10	16
KH2013:KH.S425.9	0	0	0	0	0	0
KH2013:KH.S432.1	0	0	0	2	1	0
KH2013:KH.S432.2	5	8	1	4	2	35
KH2013:KH.S432.3	2	0	0	2	0	8
KH2013:KH.S432.4	38	68	36	51	52	128
KH2013:KH.S432.5	193	554	297	146	213	704
KH2013:KH.S433.1	0	6	6	2	0	17
KH2013:KH.S433.2	5	14	0	1	0	5
