foxf1_ko_10hpf_rnaseq_june_6	foxf_ko_10hpf_rnaseq_may_31	lacz1_ko_10hpf_rnaseq_may_31	lacz2_ko_10hpf_rnaseq_june_6	ngn2_ko_10hpf_rnaseq_june_6	ngn2_ko_10hpf_rnaseq_may_31
KH2013:KH.C10.421	101	179	81	63	79	286
KH2013:KH.C10.422	1	1	0	1	1	3
KH2013:KH.C10.423	4	16	9	0	3	12
KH2013:KH.C10.424	164	370	225	133	167	604
KH2013:KH.C10.425	123	258	147	47	96	384
KH2013:KH.C10.426	0	2	0	4	0	5
KH2013:KH.C10.427	75	249	136	55	74	304
KH2013:KH.C10.428	80	136	71	37	38	238
KH2013:KH.C10.429	19	69	11	5	8	110
KH2013:KH.C10.43	180	368	195	137	158	663
KH2013:KH.C10.430	102	230	123	59	58	316
KH2013:KH.C10.431	23	68	50	25	34	111
KH2013:KH.C10.432	60	174	101	43	72	257
KH2013:KH.C10.433	0	0	0	0	0	5
KH2013:KH.C10.434	612	1668	883	534	616	2357
KH2013:KH.C10.436	2	9	0	6	1	5
KH2013:KH.C10.438	0	0	1	0	0	0
KH2013:KH.C10.439	7	26	14	8	11	52
KH2013:KH.C10.44	91	242	116	63	81	363
KH2013:KH.C10.440	64	213	84	63	55	352
KH2013:KH.C10.441	20	18	32	9	21	44
KH2013:KH.C10.442	4	2	3	1	1	8
KH2013:KH.C10.443	31	126	72	20	19	160
KH2013:KH.C10.444	6	33	8	3	8	23
KH2013:KH.C10.445	4	3	1	0	2	3
KH2013:KH.C10.446	163	371	241	129	147	529
KH2013:KH.C10.447	404	1089	546	358	412	1511
KH2013:KH.C10.448	13	40	20	25	22	98
KH2013:KH.C10.449	113	266	161	33	65	501
KH2013:KH.C10.45	562	900	477	384	457	1329
KH2013:KH.C10.450	0	1	0	3	0	1
KH2013:KH.C10.451	15	48	25	9	21	57
KH2013:KH.C10.452	8	25	21	11	4	37
KH2013:KH.C10.453	6	7	10	4	3	14
KH2013:KH.C10.454	18	19	8	13	8	42
KH2013:KH.C10.455	541	1398	717	381	497	1990
KH2013:KH.C10.456	1	1	2	1	2	4
KH2013:KH.C10.457	50	295	96	75	68	310
KH2013:KH.C10.458	22	55	24	13	21	55
KH2013:KH.C10.459	314	1014	520	238	301	1586
KH2013:KH.C10.46	1858	4139	2231	1516	1879	6450
KH2013:KH.C10.460	26	74	45	14	25	119
KH2013:KH.C10.461	241	536	374	140	220	811
KH2013:KH.C10.462	1	1	0	0	0	1
KH2013:KH.C10.463	34	160	84	47	45	237
KH2013:KH.C10.464	91	165	84	106	131	357
KH2013:KH.C10.465	1	0	1	1	0	0
KH2013:KH.C10.466	4	4	2	3	3	10
KH2013:KH.C10.467	91	219	107	65	75	303
KH2013:KH.C10.468	479	1124	639	302	428	1574
KH2013:KH.C10.469	0	1	0	0	0	0
KH2013:KH.C10.47	17	44	22	23	21	78
KH2013:KH.C10.470	14	28	8	4	10	42
KH2013:KH.C10.471	0	4	0	1	0	1
KH2013:KH.C10.472	160	472	228	154	152	605
KH2013:KH.C10.474	482	1161	530	448	543	1919
KH2013:KH.C10.475	5	17	12	6	14	23
KH2013:KH.C10.476	293	600	310	218	283	1109
KH2013:KH.C10.477	2	1	1	2	1	3
KH2013:KH.C10.478	0	3	3	2	0	4
KH2013:KH.C10.479	0	2	3	0	0	2
KH2013:KH.C10.48	0	5	1	1	1	3
KH2013:KH.C10.480	204	625	273	170	235	930
KH2013:KH.C10.481	0	0	0	0	0	0
KH2013:KH.C10.482	179	424	261	117	165	636
KH2013:KH.C10.483	11	12	3	6	12	15
KH2013:KH.C10.484	1	0	0	1	3	0
KH2013:KH.C10.485	63	163	71	68	58	253
KH2013:KH.C10.486	636	1750	745	345	420	2209
KH2013:KH.C10.487	65	128	65	43	42	133
KH2013:KH.C10.488	28	61	27	31	45	106
KH2013:KH.C10.49	203	486	308	168	166	836
KH2013:KH.C10.490	1	3	0	0	0	4
KH2013:KH.C10.491	3	13	11	5	5	15
KH2013:KH.C10.492	5	10	4	2	3	19
KH2013:KH.C10.493	27	101	38	43	68	107
KH2013:KH.C10.494	761	1980	951	442	564	2876
KH2013:KH.C10.495	8	46	22	5	17	76
KH2013:KH.C10.496	84	306	148	58	161	363
KH2013:KH.C10.497	4	7	2	1	4	7
KH2013:KH.C10.498	71	227	101	64	74	268
KH2013:KH.C10.499	285	826	442	249	311	1183
KH2013:KH.C10.5	30	82	12	30	37	65
KH2013:KH.C10.50	1681	3934	1907	1195	1688	5833
KH2013:KH.C10.500	226	581	286	169	261	887
KH2013:KH.C10.501	0	1	3	2	2	4
KH2013:KH.C10.502	47	173	77	50	85	261
KH2013:KH.C10.503	290	633	312	175	240	949
KH2013:KH.C10.504	131	272	174	94	146	468
KH2013:KH.C10.505	6	18	6	4	6	27
